日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210630,6365,電業社機械製作所,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6366,千代田化工建設,市場第二部（内国株）,2050,建設業,3,建設・資材 ,-,-
20210630,6367,ダイキン工業,市場第一部（内国株）,3600,機械,8,機械 ,1,TOPIX Core30
20210630,6368,オルガノ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6369,トーヨーカネツ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6370,栗田工業,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6371,椿本チエイン,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6373,大同工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6376,日機装,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,6,TOPIX Small 1
20210630,6378,木村化工機,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6379,レイズネクスト,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210630,6380,オリエンタルチエン工業,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6381,アネスト岩田,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6382,トリニティ工業,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6383,ダイフク,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6384,昭和真空,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6387,サムコ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6390,加藤製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6391,加地テック,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6392,ヤマダコーポレーション,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6393,油研工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6395,タダノ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6396,宇野澤組鐵工所,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6400,不二精機,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6402,兼松エンジニアリング,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6403,水道機工,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6405,鈴茂器工,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6406,フジテック,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6407,ＣＫＤ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6408,小倉クラッチ,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6409,キトー,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6411,中野冷機,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6412,平和,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6413,理想科学工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6414,川重冷熱工業,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6416,桂川電機,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6417,ＳＡＮＫＹＯ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6418,日本金銭機械,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6419,マースグループホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6420,フクシマガリレイ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6424,高見沢サイバネティックス,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6425,ユニバーサルエンターテインメント,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6428,オーイズミ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6430,ダイコク電機,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6432,竹内製作所,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6433,ヒーハイスト,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6436,アマノ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6440,ＪＵＫＩ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6444,サンデンホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6445,蛇の目ミシン工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6448,ブラザー工業,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
20210630,6454,マックス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6455,モリタホールディングス,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,7,TOPIX Small 2
20210630,6457,グローリー,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6458,新晃工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6459,大和冷機工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6460,セガサミーホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6461,日本ピストンリング,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6462,リケン,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6463,ＴＰＲ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6464,ツバキ・ナカシマ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6465,ホシザキ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6466,ＴＶＥ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6467,ニチダイ,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6469,放電精密加工研究所,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6470,大豊工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6471,日本精工,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6472,ＮＴＮ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
